Hospital_Count,Mean_hospital_rating,Doctor_Count,Mean_doctor_rating,Dentist_Count,Mean_dentist_rating,Pharmacy_Count,Mean_pharmacy_rating,Physiotherapist_Count,Mean_physiotherapist_rating,School_Count,Mean_school_rating,University_Count,Mean_university_rating,Bookstore_Count,Mean_bookstore_rating,Museum_Count,Mean_museum_rating,Library_Count,Mean_library_rating,Bakery_Count,Mean_bakery_rating,Cafe_Count,Mean_cafe_rating,ConvenienceStore_Count,Mean_conveniencestore_rating,Food_Count,Mean_Food_rating,Supermarket_Count,Mean_supermarket_rating,MealDelivery_Count,Mean_mealdelivery_rating,Restaurant_Count,Mean_restaurant_rating,labels,Neighbourhood,Latitude,Longitude
60,4.110810810810811,60,4.405714285714286,21,4.521428571428571,60,4.4757575757575765,5,4.7,18.0,4.211111111111111,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,4.6000000000000005,3.0,2.4,0.0,0.0,60.0,3.9833333333333343,3.0,0.0,0.0,0.0,25.0,3.7894736842105265,2,Bareja (area),22.85570000000007,72.59490000000005
17,4.672727272727274,1,1.0,2,3.0,3,4.75,0,0.0,49.0,4.404166666666667,4.0,3.7,2.0,4.5,0.0,0.0,1.0,5.0,12.0,3.5625,19.0,3.663636363636364,1.0,4.1,58.0,4.233333333333333,9.0,4.1,1.0,4.8,60.0,4.051428571428572,1,Behrampura,23.002780000000033,72.57706000000006
43,4.118181818181818,14,4.942857142857143,2,4.4,20,4.257142857142857,0,0.0,60.0,4.13409090909091,25.0,4.035294117647059,12.0,3.8875,6.0,4.62,2.0,4.550000000000002,27.0,4.316666666666666,41.0,4.3375,1.0,2.5,60.0,4.18139534883721,7.0,4.0,3.0,3.55,60.0,4.033962264150944,0,Bhairavnath Road,23.002575410797863,72.59815911107509
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,60.0,4.545945945945946,9.0,4.975,5.0,4.46,0.0,0.0,2.0,3.85,22.0,4.3157894736842115,35.0,4.4,2.0,0.0,60.0,4.104081632653061,10.0,3.983333333333334,5.0,3.9,60.0,4.180392156862745,1,Bopal,23.030320000000078,72.47247000000004
60,4.229545454545455,60,4.275,37,4.589655172413794,60,4.463888888888889,8,4.75,39.0,4.415789473684211,5.0,3.733333333333333,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,4.281818181818182,0.0,0.0,0.0,0.0,49.0,3.9034482758620688,2,Calico Mills (area),23.000980000000034,72.57459000000007
1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,60.0,4.202564102564103,11.0,4.875,5.0,4.233333333333333,1.0,0.0,4.0,4.9,18.0,4.36875,16.0,4.072727272727272,3.0,4.65,60.0,3.909302325581396,19.0,4.22,2.0,4.1,60.0,4.025,1,Chandkheda,23.11214000000007,72.57989000000003
60,4.564814814814816,60,4.558333333333335,34,4.6074074074074085,39,4.277272727272727,3,3.633333333333333,60.0,4.136111111111111,8.0,4.58,1.0,0.0,1.0,0.0,1.0,3.3,7.0,4.283333333333333,21.0,3.98888888888889,0.0,0.0,60.0,4.337837837837838,6.0,4.5,1.0,3.8,60.0,4.2042553191489365,2,Chandlodiya,23.087290000000053,72.54899000000006
37,3.97,5,4.95,1,4.0,18,3.9384615384615382,0,0.0,58.0,4.262857142857143,12.0,3.888888888888889,49.0,4.2904761904761894,11.0,4.433333333333334,3.0,4.766666666666667,31.0,4.025,43.0,4.1,1.0,0.0,60.0,3.986363636363636,38.0,4.380952380952381,1.0,5.0,58.0,3.9734693877551015,0,Dabhoda,23.027760000000054,72.60027000000008
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,60.0,3.925,10.0,3.8857142857142857,20.0,4.175,11.0,3.5111111111111115,2.0,4.5,37.0,4.0,40.0,4.248275862068966,0.0,0.0,60.0,4.0815789473684205,52.0,4.4625,1.0,0.0,60.0,4.2265306122449,1,Dariapur (Ahmedabad),23.036070000000052,72.59213000000005
60,4.26304347826087,33,4.4192307692307695,27,4.699999999999998,50,3.933333333333333,10,5.0,60.0,4.136,52.0,4.239393939393938,34.0,4.05,8.0,4.416666666666667,8.0,3.75,40.0,4.042857142857144,59.0,4.4,0.0,0.0,60.0,3.896,13.0,3.85,0.0,0.0,60.0,3.976923076923077,0,Ellis bridge (area),23.022390333701104,72.57669435394355
45,4.5810810810810825,43,4.6433333333333335,25,4.83,27,4.368421052631578,7,4.9,60.0,4.2475000000000005,8.0,4.74,8.0,4.025,1.0,0.0,5.0,4.324999999999998,20.0,4.26875,18.0,3.8428571428571434,0.0,0.0,60.0,4.379487179487178,6.0,4.05,2.0,4.25,60.0,4.133333333333335,0,Ghatlodiya,23.07275000000004,72.54964000000007
33,4.4750000000000005,45,4.7125,12,4.8125,39,4.420833333333333,0,0.0,60.0,4.112820512820513,10.0,3.75,8.0,4.92,1.0,5.0,1.0,3.7,20.0,4.356249999999998,23.0,4.388235294117647,0.0,0.0,60.0,4.2,11.0,4.114285714285715,3.0,4.5,60.0,4.1367346938775515,0,Ghodasar,22.974030000000035,72.61170000000004
60,4.216129032258064,57,4.610526315789474,13,4.377777777777776,60,3.8259259259259264,0,0.0,60.0,4.047222222222222,26.0,4.465,13.0,3.6636363636363636,5.0,4.55,4.0,4.566666666666666,23.0,4.314285714285714,26.0,3.9157894736842103,0.0,0.0,60.0,3.7236842105263164,8.0,4.5200000000000005,5.0,3.6666666666666665,60.0,3.605882352941177,0,Girdharnagar,23.050070000000066,72.59831000000008
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,60.0,4.105,8.0,4.3,12.0,4.0,5.0,4.333333333333333,2.0,4.85,17.0,4.433333333333334,21.0,4.13125,1.0,0.0,60.0,3.954761904761906,7.0,3.0,1.0,4.8,60.0,4.120930232558139,1,Gita Mandir Road,23.006018549998913,72.59080240924993
60,4.263636363636363,60,4.252631578947368,17,4.0299999999999985,60,4.352777777777779,8,4.15,12.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,58.0,4.080645161290323,0.0,0.0,0.0,0.0,4.0,4.6000000000000005,2,Godhavi,23.028490000000033,72.40776000000005
60,4.699999999999998,60,4.526190476190474,35,4.679166666666666,39,4.318518518518518,9,4.866666666666666,49.0,4.003846153846154,4.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.116666666666667,25.0,3.9733333333333336,0.0,0.0,58.0,3.860526315789474,2.0,5.0,0.0,0.0,60.0,4.145,2,Gomtipur,23.01597000000004,72.61082000000005
51,4.518421052631578,38,4.6863636363636365,23,4.905555555555557,46,4.4,3,4.966666666666667,54.0,4.5280000000000005,9.0,4.466666666666667,0.0,0.0,1.0,5.0,0.0,0.0,11.0,4.616666666666666,34.0,4.322727272727273,0.0,0.0,60.0,4.414285714285715,8.0,4.28,2.0,3.4,60.0,4.184782608695653,2,"Gota, Gujarat",23.101730000000032,72.53900000000004
60,4.293750000000001,60,4.5514285714285725,26,4.594736842105264,60,4.250000000000001,3,5.0,60.0,3.941176470588236,11.0,4.566666666666666,3.0,5.0,0.0,0.0,0.0,0.0,13.0,4.163636363636363,15.0,4.266666666666667,0.0,0.0,60.0,4.035555555555555,11.0,4.466666666666667,0.0,0.0,56.0,4.130303030303031,2,Isanpur,22.97137000000004,72.59743000000003
