Neighbourhood,Latitude,Longitude,Hospital_Count,Mean_hospital_rating,Doctor_Count,Mean_doctor_rating,Dentist_Count,Mean_dentist_rating,Pharmacy_Count,Mean_pharmacy_rating,Physiotherapist_Count,Mean_physiotherapist_rating
Shardanagar,23.010730000000024,72.55525000000006,60,4.333333333333333,60,4.339024390243902,60,4.643589743589743,60,4.148148148148148,14,4.762499999999999
Shastrinagar,23.011210000000062,72.63556000000005,60,4.32,17,3.8599999999999994,10,5.0,25,3.658823529411765,4,3.5
Subhash Bridge,23.059423674819552,72.58678810329893,31,4.163157894736842,60,4.341379310344828,6,5.0,18,4.8999999999999995,0,0.0
Sukhrampura,27.072610000000054,75.69372000000004,0,0.0,1,,0,0.0,2,3.5,0,0.0
Thakkar Bapanagar,23.045370000000048,72.64864000000006,60,4.326190476190476,31,4.515,28,,60,4.351612903225806,1,
Thaltej,23.050110000000075,72.51108000000005,43,4.32962962962963,34,4.747999999999999,16,4.955555555555556,25,3.827777777777778,2,4.9
Ujedia,23.027760000000058,72.60027000000008,33,4.4750000000000005,45,4.7124999999999995,12,4.8125,39,4.420833333333333,0,0.0
Usmanpura,23.049810000000036,72.57120000000003,60,4.407500000000001,60,4.532352941176471,27,4.905,33,4.21875,2,4.85
Vastral,23.002380000000073,72.65865000000008,60,4.153488372093023,17,4.516666666666667,26,4.633333333333333,35,4.303703703703703,8,4.883333333333333
Vastrapur,23.03717000000006,72.53085000000004,60,4.426315789473685,60,4.63939393939394,45,4.7441176470588236,54,4.1421052631578945,9,4.966666666666667
Vejalpur,23.007820000000038,72.51818000000003,60,4.274418604651163,60,4.502702702702703,54,4.723529411764707,55,4.2552631578947375,8,4.9399999999999995
Virochannagar,23.093770000000063,72.22700000000003,3,,0,0.0,0,0.0,0,0.0,0,0.0
