Neighbourhood,Latitude,Longitude,School_Count,Mean_school_rating,University_Count,Mean_university_rating,Bookstore_Count,Mean_bookstore_rating,Museum_Count,Mean_museum_rating,Library_Count,Mean_library_rating
Kalyanpura (Ahmedabad),23.04764000000005,72.56149000000005,60,4.233333333333333,41,4.266666666666667,18,4.333333333333333,6,4.2,14,4.366666666666668
"Khadia, Ahmedabad",23.020770000000034,72.59244000000007,60,4.029999999999999,15,3.5,60,4.207692307692307,12,4.357142857142857,6,3.975
Kharna,23.027760000000054,72.60027000000008,58,4.262857142857143,12,3.888888888888889,49,4.29047619047619,11,4.433333333333334,3,4.766666666666667
Khodiyarnagar,23.034350000000078,72.64652000000007,60,4.196969696969697,3,5.0,3,4.5,2,3.8,0,0.0
Khokhra,23.00580959394864,72.61333409499983,60,4.002380952380953,14,4.31,11,3.783333333333333,5,4.566666666666666,4,3.675
Lambha,22.93802000000005,72.58586000000008,5,4.5,0,0.0,0,0.0,0,0.0,0,0.0
Makarba,22.996920000000053,72.49837000000008,18,4.7125,5,4.0,0,0.0,2,5.0,1,4.4
Maninagar,23.005260000000078,72.60731000000004,60,4.2,23,4.193749999999999,8,3.0,5,4.62,2,2.6
Memnagar,23.05610000000007,72.53034000000008,60,4.445945945945946,19,4.066666666666666,14,4.169230769230769,0,0.0,5,4.25
Mithakali,23.02851000000004,72.56525000000005,58,4.430555555555555,58,4.416279069767442,50,3.8781250000000003,7,4.15,8,4.5600000000000005
Motera,23.103190000000037,72.60513000000003,57,4.629411764705883,6,4.300000000000001,5,2.5500000000000003,0,0.0,5,4.4
Naranpura,23.055060000000022,72.55557000000005,60,4.352272727272727,21,4.322222222222222,10,4.3999999999999995,5,4.666666666666667,11,4.42
Naroda,23.07293000000004,72.65378000000005,0,0.0,0,0.0,0,0.0,0,0.0,3,2.5
Nava Vadaj,23.060240000000075,72.56671000000007,60,4.3048780487804885,10,5.0,10,4.428571428571428,3,4.2,7,4.716666666666667
Navjivan (Neighbourhood),23.044130000000052,72.56883000000005,60,4.262962962962963,60,4.239393939393939,40,3.911111111111111,10,4.3,11,4.114285714285714
Odhav,23.02825000000007,72.67611000000005,27,3.9199999999999995,4,4.45,0,0.0,2,,0,0.0
Paldi,23.013180000000034,72.57148000000007,58,4.19375,25,4.304761904761905,10,3.9749999999999996,6,4.1000000000000005,2,
Polarpur,23.027760000000054,72.60027000000008,58,4.262857142857143,12,3.888888888888889,49,4.29047619047619,11,4.433333333333334,3,4.766666666666667
Rajpur Gomtipur,23.014650000000078,72.61543000000006,58,4.012903225806452,5,3.8499999999999996,2,,0,0.0,3,4.5
Ramol,22.982120000000066,72.66305000000007,9,4.3500000000000005,1,,0,0.0,0,0.0,0,0.0
Ranip,23.075110000000052,72.57839000000007,60,4.051351351351351,9,4.8,3,4.8,2,4.75,2,4.75
Sabarmati (area),23.089520000000054,72.58551000000007,45,3.8448275862068964,8,4.314285714285715,8,3.7285714285714286,0,0.0,2,5.0
Saraspur,23.030640000000066,72.60914000000008,60,4.112500000000001,11,4.199999999999999,8,4.8,2,5.0,4,5.0
Sardarnagar,23.081040000000034,72.62806000000006,42,4.02258064516129,7,4.18,1,5.0,1,,0,0.0
Sarkhej,22.98058000000003,72.49398000000008,32,3.878947368421052,2,3.9,2,4.3,0,0.0,1,
Shahibaug,23.057470000000023,72.59548000000007,58,4.185714285714286,20,4.373333333333333,4,2.9333333333333336,8,4.642857142857143,7,3.3333333333333335
"Shahpur, Gujarat",23.035700000000077,72.58116000000007,60,4.136842105263158,18,4.0285714285714285,22,4.1647058823529415,5,4.5,2,5.0
Shardanagar,23.010730000000024,72.55525000000007,55,4.322222222222223,40,4.532142857142857,7,3.8499999999999996,4,4.85,11,4.0285714285714285
Shastrinagar,23.011210000000066,72.63556000000004,58,4.373333333333333,4,4.0,6,2.5,1,,1,2.2
Subhash Bridge,23.059423674819552,72.58678810329894,42,4.324999999999999,7,3.9,6,3.3,9,4.6625000000000005,3,1.0
Thakkar Bapanagar,23.04537000000005,72.64864000000007,60,3.8676470588235303,9,4.725,6,3.275,2,3.0,1,4.1
Thaltej,23.050110000000075,72.51108000000005,46,4.510000000000001,14,4.581818181818182,1,5.0,1,5.0,4,4.333333333333333
Ujedia,23.027760000000054,72.60027000000008,58,4.262857142857143,12,3.888888888888889,49,4.29047619047619,11,4.433333333333334,3,4.766666666666667
Usmanpura,23.04981000000004,72.57120000000003,60,4.025806451612903,35,4.075,9,4.425,8,4.366666666666666,7,4.46
Vastral,23.002380000000077,72.65865000000008,58,4.273170731707316,2,5.0,5,4.720000000000001,1,5.0,4,4.333333333333333
Vastrapur,23.037170000000053,72.53085000000004,60,4.255263157894737,44,4.4896551724137925,9,3.8875,5,3.6,13,4.266666666666667
Vejalpur,23.007820000000038,72.51818000000003,60,4.238636363636363,22,4.383333333333334,16,4.2,4,4.6,5,4.699999999999999
