Neighbourhood,Latitude,Longitude,Bakery_Count,Mean_bakery_rating,Cafe_Count,Mean_cafe_rating,ConvenienceStore_Count,Mean_conveniencestore_rating,Food_Count,Mean_Food_rating,Supermarket_Count,Mean_supermarket_rating,MealDelivery_Count,Mean_mealdelivery_rating,Restaurant_Count,Mean_restaurant_rating
Sardarnagar,23.081040000000034,72.62806000000006,14,3.9615384615384617,10,4.8125,2,4.65,60,4.208000000000001,2,4.1,1,2.8,43,4.277142857142857
Sarkhej,22.98058000000003,72.49398000000008,10,4.0,12,4.369999999999999,0,0.0,60,3.9527777777777775,5,4.3,0,0.0,56,3.9724999999999993
Shahibaug,23.057470000000023,72.59548000000007,21,4.249999999999999,25,3.957142857142857,0,0.0,60,4.124137931034483,3,4.55,2,3.75,60,4.066037735849056
"Shahpur, Gujarat",23.035700000000077,72.58116000000007,27,4.021052631578947,28,4.354545454545455,1,3.5,60,4.0256410256410255,24,4.51111111111111,0,0.0,60,4.154347826086957
Shardanagar,23.010730000000024,72.55525000000007,35,4.3500000000000005,32,4.214285714285714,0,0.0,60,3.8595744680851065,8,4.38,4,4.0,60,4.123529411764706
Shastrinagar,23.011210000000066,72.63556000000004,7,4.04,19,4.230769230769231,0,0.0,60,4.163636363636364,18,4.408333333333334,0,0.0,60,4.217777777777777
Subhash Bridge,23.059423674819552,72.58678810329894,12,4.283333333333332,17,3.7181818181818183,0,0.0,60,4.045454545454546,2,4.0,1,4.2,60,4.035999999999999
Thakkar Bapanagar,23.04537000000005,72.64864000000007,22,3.5142857142857147,17,4.0,1,,60,4.270370370370371,10,3.125,1,4.0,60,4.058695652173912
Thaltej,23.050110000000075,72.51108000000005,12,3.8,60,4.2622641509433965,0,0.0,60,4.074358974358974,8,3.8000000000000003,2,4.4,60,4.284782608695651
Ujedia,23.027760000000054,72.60027000000008,31,4.020833333333333,43,4.1,1,,60,3.9863636363636363,40,4.380952380952381,1,5.0,58,3.9714285714285706
Usmanpura,23.04981000000004,72.57120000000003,12,4.279999999999999,40,4.310344827586207,0,0.0,60,4.0204545454545455,4,4.5,0,0.0,60,4.2
Vastral,23.002380000000077,72.65865000000008,16,4.408333333333333,39,4.15,0,0.0,60,3.902702702702702,8,4.55,1,3.9,60,4.070588235294117
Vastrapur,23.037170000000053,72.53085000000004,41,4.225806451612903,60,4.382978723404256,1,4.3,60,4.204761904761905,17,4.369230769230769,13,4.175,60,3.976363636363636
Vejalpur,23.007820000000038,72.51818000000003,0,0.0,0,0.0,3,4.1,40,3.846428571428571,17,4.279999999999999,7,4.128571428571428,60,4.138297872340426
